"","subjid","weekday","ageyears","agegroup","language","order","timelinefirst","task","linenum","itemtype","itemnum","item","linelength","distfrommid","distfrommid2","response1","response2","response","correctr","prompts","exclude","DaysOfWeek_Correct","Num_Prompts","correctR","correct","dist.error","dist.error.a","resp.stat","resp.stat.1","item.stat","stat.correct","stat.correct.1","resp.remoteness","cor.remote"
"842","B22LS","3",5.2,"5","german","1",0,"timeline","3","deictic","2","nextyear",14,7,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"843","B22LS","3",5.2,"5","german","1",0,"timeline","3","deictic","3","yesterday",14,-7,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"844","B22LS","3",5.2,"5","german","1",0,"timeline","3","deictic","4","lastyear",14,0,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,0,0,0,1,1,NA,NA
"845","B22LS","3",5.2,"5","german","1",0,"timeline","4","deictic","1","yesterday",14,0,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"846","B22LS","3",5.2,"5","german","1",0,"timeline","4","deictic","2","tomorrow",14,-7,NA,1,NA,1,3,NA,0,NA,NA,3,0,2,2,0,0,1,0,0,NA,NA
"847","B22LS","3",5.2,"5","german","1",0,"timeline","4","deictic","3","aftertomorrow",14,7,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"848","B22LS","3",5.2,"5","german","1",0,"timeline","4","deictic","4","beforeyesterday",14,7,NA,3,NA,3,1,NA,0,NA,NA,1,0,-2,2,1,1,0,0,0,NA,NA
"849","B22LS","3",5.2,"5","german","2",0,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"850","B22LS","3",5.2,"5","german","2",0,"calendar","1","deictic","1","yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,"1"
"851","B22LS","3",5.2,"5","german","2",0,"calendar","2","deictic","2","tomorrow",NA,NA,NA,1,6,6,5,1,0,NA,NA,5,0,-1,1,1,0,1,1,0,2,"0"
"852","B22LS","3",5.2,"5","german","2",0,"calendar","3","deictic","3","beforeyesterday",NA,NA,NA,5,3,3,2,1,0,NA,NA,2,0,-1,1,0,1,0,1,0,1,"0"
"853","B22LS","3",5.2,"5","german","2",0,"calendar","4","deictic","4","aftertomorrow",NA,NA,NA,6,NA,6,6,0,0,NA,NA,6,1,0,0,1,1,1,1,1,2,"1"
"854","B22LS","3",5.2,"5","german","2",0,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,NA,NA
"855","B22LS","3",5.2,"5","german","2",0,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"856","B22LS","3",5.2,"5","german","2",0,"calendar",NA,"verbal","4","today",NA,NA,NA,1,NA,1,4,NA,0,NA,NA,3,0,2,2,0,0,0,1,1,NA,NA
"857","B22LS","3",5.2,"5","german","2",0,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,2,NA,2,3,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"858","B22LS","3",5.2,"5","german","2",0,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,4,NA,NA,NA,0,0,1,0,0,NA,NA
"859","B21AT","2",4.1,"4","german","2",1,"timeline","1","event","1","lastbday",14,1.8,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,1,1,0,0,0,NA,NA
"860","B21AT","2",4.1,"4","german","2",1,"timeline","1","event","2","dinner",14,4.6,NA,4,NA,4,3,NA,0,NA,NA,3,0,-1,1,1,1,1,1,1,NA,NA
"861","B21AT","2",4.1,"4","german","2",1,"timeline","1","event","3","nextbday",14,3,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"862","B21AT","2",4.1,"4","german","2",1,"timeline","1","event","4","breakfast",14,-4.3,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"863","B21AT","2",4.1,"4","german","2",1,"timeline","2","deictic","1","thismorning",14,-4.8,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"864","B21AT","2",4.1,"4","german","2",1,"timeline","2","deictic","2","tonight",14,4.1,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"865","B21AT","2",4.1,"4","german","2",1,"timeline","2","deictic","3","tomorrow",14,-1.3,NA,2,NA,2,4,NA,0,NA,NA,4,0,2,2,0,0,1,0,0,NA,NA
"866","B21AT","2",4.1,"4","german","2",1,"timeline","2","deictic","4","lastweek",14,5.5,NA,4,NA,4,1,NA,0,NA,NA,1,0,-3,3,1,1,0,0,0,NA,NA
"867","B21AT","2",4.1,"4","german","2",1,"timeline","3","deictic","1","lastyear",14,-3.4,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,0,0,0,1,1,NA,NA
"868","B21AT","2",4.1,"4","german","2",1,"timeline","3","deictic","2","yesterday",14,-4.7,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"869","B21AT","2",4.1,"4","german","2",1,"timeline","3","deictic","3","nextyear",14,2.8,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"870","B21AT","2",4.1,"4","german","2",1,"timeline","3","deictic","4","nextweek",14,4.1,NA,4,NA,4,3,NA,0,NA,NA,3,0,-1,1,1,1,1,1,1,NA,NA
"871","B21AT","2",4.1,"4","german","2",1,"timeline","4","deictic","1","tomorrow",14,2.1,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"872","B21AT","2",4.1,"4","german","2",1,"timeline","4","deictic","2","yesterday",14,-4.7,NA,4,NA,4,2,NA,0,NA,NA,2,0,-2,2,0,0,0,1,1,NA,NA
"873","B21AT","2",4.1,"4","german","2",1,"timeline","4","deictic","3","beforeyesterday",14,-5.9,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"874","B21AT","2",4.1,"4","german","2",1,"timeline","4","deictic","4","aftertomorrow",14,4.4,NA,2,NA,2,4,NA,0,NA,NA,4,0,2,2,1,1,1,1,1,NA,NA
"875","B21AT","2",4.1,"4","german","4",1,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"876","B21AT","2",4.1,"4","german","4",1,"calendar","1","deictic","1","beforeyesterday",NA,NA,NA,3,NA,3,2,NA,0,NA,NA,2,0,-1,1,0,0,0,1,1,1,"0"
"877","B21AT","2",4.1,"4","german","4",1,"calendar","2","deictic","2","aftertomorrow",NA,NA,NA,6,NA,6,6,0,0,NA,NA,6,1,0,0,1,1,1,1,1,2,"1"
"878","B21AT","2",4.1,"4","german","4",1,"calendar","3","deictic","3","yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,"1"
"879","B21AT","2",4.1,"4","german","4",1,"calendar","4","deictic","4","tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,"1"
"880","B21AT","2",4.1,"4","german","4",1,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,NA,NA
"881","B21AT","2",4.1,"4","german","4",1,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"882","B21AT","2",4.1,"4","german","4",1,"calendar",NA,"verbal","4","today",NA,NA,NA,2,NA,2,3,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"883","B21AT","2",4.1,"4","german","4",1,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"884","B21AT","2",4.1,"4","german","4",1,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"885","B20AW","1",4.3,"4","german","1",0,"timeline","1","event","1","breakfast",14,6.3,NA,4,NA,4,2,NA,0,NA,NA,2,0,-2,2,1,1,0,0,0,NA,NA
"886","B20AW","1",4.3,"4","german","1",0,"timeline","1","event","2","nextbday",14,5.6,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"887","B20AW","1",4.3,"4","german","1",0,"timeline","1","event","3","dinner",14,0,NA,1,NA,1,3,NA,0,NA,NA,3,0,2,2,0,0,1,0,0,NA,NA
"888","B20AW","1",4.3,"4","german","1",0,"timeline","1","event","4","lastbday",14,3.6,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,1,1,0,0,0,NA,NA
"889","B20AW","1",4.3,"4","german","1",0,"timeline","2","deictic","1","lastweek",14,5.8,NA,4,NA,4,1,NA,0,NA,NA,1,0,-3,3,1,1,0,0,0,NA,NA
"890","B20AW","1",4.3,"4","german","1",0,"timeline","2","deictic","2","tomorrow",14,4.6,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"891","B20AW","1",4.3,"4","german","1",0,"timeline","2","deictic","3","tonight",14,2.4,NA,2,NA,2,3,NA,0,NA,NA,3,0,1,1,1,1,1,1,1,NA,NA
"892","B20AW","1",4.3,"4","german","1",0,"timeline","2","deictic","4","thismorning",14,1.3,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,1,1,0,0,0,NA,NA
"893","B20AW","1",4.3,"4","german","1",0,"timeline","3","deictic","1","nextweek",14,-1.7,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,0,0,1,0,0,NA,NA
"894","B20AW","1",4.3,"4","german","1",0,"timeline","3","deictic","2","nextyear",14,-0.9,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,0,0,1,0,0,NA,NA
"895","B20AW","1",4.3,"4","german","1",0,"timeline","3","deictic","3","yesterday",14,-2.4,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"896","B20AW","1",4.3,"4","german","1",0,"timeline","3","deictic","4","lastyear",14,-3.3,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"897","B20AW","1",4.3,"4","german","1",0,"timeline","4","deictic","1","yesterday",14,3,NA,3,NA,3,2,NA,0,NA,NA,2,0,-1,1,1,1,0,0,0,NA,NA
"898","B20AW","1",4.3,"4","german","1",0,"timeline","4","deictic","2","tomorrow",14,2.1,NA,2,NA,2,3,NA,0,NA,NA,3,0,1,1,1,1,1,1,1,NA,NA
"899","B20AW","1",4.3,"4","german","1",0,"timeline","4","deictic","3","aftertomorrow",14,1.1,NA,1,NA,1,4,NA,0,NA,NA,4,0,3,3,1,1,1,1,1,NA,NA
"900","B20AW","1",4.3,"4","german","1",0,"timeline","4","deictic","4","beforeyesterday",14,5.8,NA,4,NA,4,1,NA,0,NA,NA,1,0,-3,3,1,1,0,0,0,NA,NA
"901","B20AW","1",4.3,"4","german","2",0,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,0,NA,0,7,NA,0,NA,NA,7,0,7,7,0,0,0,1,1,NA,NA
"902","B20AW","1",4.3,"4","german","2",0,"calendar","1","deictic","1","yesterday",NA,NA,NA,7,NA,7,3,NA,0,NA,NA,3,0,-4,4,1,1,0,0,0,3,"0"
"903","B20AW","1",4.3,"4","german","2",0,"calendar","2","deictic","2","tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,"1"
"904","B20AW","1",4.3,"4","german","2",0,"calendar","3","deictic","3","beforeyesterday",NA,NA,NA,6,NA,6,2,NA,0,NA,NA,2,0,-4,4,1,1,0,0,0,2,"1"
"905","B20AW","1",4.3,"4","german","2",0,"calendar","4","deictic","4","aftertomorrow",NA,NA,NA,5,NA,5,6,NA,0,NA,NA,6,0,1,1,1,1,1,1,1,1,"0"
"906","B20AW","1",4.3,"4","german","2",0,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,NA,NA
"907","B20AW","1",4.3,"4","german","2",0,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"908","B20AW","1",4.3,"4","german","2",0,"calendar",NA,"verbal","4","today",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"909","B20AW","1",4.3,"4","german","2",0,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"910","B20AW","1",4.3,"4","german","2",0,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,2,NA,NA,NA,0,0,1,0,0,NA,NA
"911","B19AW","1",5.6,"5","german","1",1,"timeline","1","event","1","breakfast",14,-3,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"912","B19AW","1",5.6,"5","german","1",1,"timeline","1","event","2","nextbday",14,1.7,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"913","B19AW","1",5.6,"5","german","1",1,"timeline","1","event","3","dinner",14,-0.8,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,0,0,1,0,0,NA,NA
"914","B19AW","1",5.6,"5","german","1",1,"timeline","1","event","4","lastbday",14,-4.3,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"915","B19AW","1",5.6,"5","german","1",1,"timeline","2","deictic","1","lastweek",14,-2.2,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"916","B19AW","1",5.6,"5","german","1",1,"timeline","2","deictic","2","tomorrow",14,0.7,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"917","B19AW","1",5.6,"5","german","1",1,"timeline","2","deictic","3","tonight",14,-0.4,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,0,0,1,0,0,NA,NA
"918","B19AW","1",5.6,"5","german","1",1,"timeline","2","deictic","4","thismorning",14,-1.7,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"919","B19AW","1",5.6,"5","german","1",1,"timeline","3","deictic","1","nextweek",14,1.3,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"920","B19AW","1",5.6,"5","german","1",1,"timeline","3","deictic","2","nextyear",14,6.4,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"921","B19AW","1",5.6,"5","german","1",1,"timeline","3","deictic","3","yesterday",14,-0.5,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"922","B19AW","1",5.6,"5","german","1",1,"timeline","3","deictic","4","lastyear",14,-6.1,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"923","B19AW","1",5.6,"5","german","1",1,"timeline","4","deictic","1","yesterday",14,-0.3,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"924","B19AW","1",5.6,"5","german","1",1,"timeline","4","deictic","2","tomorrow",14,1.4,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"925","B19AW","1",5.6,"5","german","1",1,"timeline","4","deictic","3","aftertomorrow",14,0.9,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"926","B19AW","1",5.6,"5","german","1",1,"timeline","4","deictic","4","beforeyesterday",14,-1.9,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"927","B19AW","1",5.6,"5","german","1",1,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"928","B19AW","1",5.6,"5","german","1",1,"calendar","1","deictic","1","yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,"1"
"929","B19AW","1",5.6,"5","german","1",1,"calendar","2","deictic","2","beforeyesterday",NA,NA,NA,2,NA,2,2,0,0,NA,NA,2,1,0,0,0,0,0,1,1,2,"1"
"930","B19AW","1",5.6,"5","german","1",1,"calendar","3","deictic","3","tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,"1"
"931","B19AW","1",5.6,"5","german","1",1,"calendar","4","deictic","4","aftertomorrow",NA,NA,NA,6,NA,6,6,0,0,NA,NA,6,1,0,0,1,1,1,1,1,2,"1"
"932","B19AW","1",5.6,"5","german","1",1,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,NA,NA
"933","B19AW","1",5.6,"5","german","1",1,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"934","B19AW","1",5.6,"5","german","1",1,"calendar",NA,"verbal","4","today",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"935","B19AW","1",5.6,"5","german","1",1,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"936","B19AW","1",5.6,"5","german","1",1,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,2,NA,NA,NA,0,0,1,0,0,NA,NA
"937","B18AW","7",4.1,"4","german","2",1,"timeline","1","event","1","lastbday",14,-2.7,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,0,0,0,1,1,NA,NA
"938","B18AW","7",4.1,"4","german","2",1,"timeline","1","event","2","dinner",14,2.2,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"939","B18AW","7",4.1,"4","german","2",1,"timeline","1","event","3","nextbday",14,4.4,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"940","B18AW","7",4.1,"4","german","2",1,"timeline","1","event","4","breakfast",14,-4.5,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"941","B18AW","7",4.1,"4","german","2",1,"timeline","2","deictic","1","thismorning",14,-2,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"942","B18AW","7",4.1,"4","german","2",1,"timeline","2","deictic","2","tonight",14,4.4,NA,4,NA,4,3,NA,0,NA,NA,3,0,-1,1,1,1,1,1,1,NA,NA
"943","B18AW","7",4.1,"4","german","2",1,"timeline","2","deictic","3","tomorrow",14,2.7,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"944","B18AW","7",4.1,"4","german","2",1,"timeline","2","deictic","4","lastweek",14,1.5,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,1,1,0,0,0,NA,NA
"945","B18AW","7",4.1,"4","german","2",1,"timeline","3","deictic","1","lastyear",14,-2.4,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"946","B18AW","7",4.1,"4","german","2",1,"timeline","3","deictic","2","yesterday",14,-0.9,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"947","B18AW","7",4.1,"4","german","2",1,"timeline","3","deictic","3","nextyear",14,4.7,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"948","B18AW","7",4.1,"4","german","2",1,"timeline","3","deictic","4","nextweek",14,2.6,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"949","B18AW","7",4.1,"4","german","2",1,"timeline","4","deictic","1","tomorrow",14,3.4,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"950","B18AW","7",4.1,"4","german","2",1,"timeline","4","deictic","2","yesterday",14,1.1,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,1,1,0,0,0,NA,NA
"951","B18AW","7",4.1,"4","german","2",1,"timeline","4","deictic","3","beforeyesterday",14,-2.8,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"952","B18AW","7",4.1,"4","german","2",1,"timeline","4","deictic","4","aftertomorrow",14,5.5,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"953","B18AW","7",4.1,"4","german","3",1,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"954","B18AW","7",4.1,"4","german","3",1,"calendar","1","deictic","1","tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,"1"
"955","B18AW","7",4.1,"4","german","3",1,"calendar","2","deictic","2","beforeyesterday",NA,NA,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,3,"0"
"956","B18AW","7",4.1,"4","german","3",1,"calendar","3","deictic","3","aftertomorrow",NA,NA,NA,6,NA,6,6,0,0,NA,NA,6,1,0,0,1,1,1,1,1,2,"1"
"957","B18AW","7",4.1,"4","german","3",1,"calendar","4","deictic","4","yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,"1"
"958","B18AW","7",4.1,"4","german","3",1,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,NA,NA
"959","B18AW","7",4.1,"4","german","3",1,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"960","B18AW","7",4.1,"4","german","3",1,"calendar",NA,"verbal","4","today",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"961","B18AW","7",4.1,"4","german","3",1,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,6,NA,NA,NA,0,0,0,1,1,NA,NA
"962","B18AW","7",4.1,"4","german","3",1,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"963","B17CD","4",4.1,"4","german","1",0,"timeline","1","event","1","breakfast",14,-3.8,NA,1,NA,1,1,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"964","B17CD","4",4.1,"4","german","1",0,"timeline","1","event","2","nextbday",14,1.8,NA,3,NA,3,3,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"965","B17CD","4",4.1,"4","german","1",0,"timeline","1","event","3","dinner",14,4.2,NA,4,NA,4,4,NA,0,NA,NA,3,0,-1,1,1,1,1,1,1,NA,NA
"966","B17CD","4",4.1,"4","german","1",0,"timeline","1","event","4","lastbday",14,-2.2,NA,2,NA,2,2,NA,0,NA,NA,1,0,-1,1,0,0,0,1,1,NA,NA
"967","B17CD","4",4.1,"4","german","1",0,"timeline","2","deictic","1","lastweek",14,-3.6,NA,1,NA,1,2,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"968","B17CD","4",4.1,"4","german","1",0,"timeline","2","deictic","2","tomorrow",14,-2.3,NA,2,NA,2,3,NA,0,NA,NA,4,0,2,2,0,0,1,0,0,NA,NA
"969","B17CD","4",4.1,"4","german","1",0,"timeline","2","deictic","3","tonight",14,-0.3,NA,3,NA,3,4,NA,0,NA,NA,3,1,0,0,0,0,1,0,0,NA,NA
"970","B17CD","4",4.1,"4","german","1",0,"timeline","2","deictic","4","thismorning",14,1.2,NA,4,NA,4,1,NA,0,NA,NA,2,0,-2,2,1,1,0,0,0,NA,NA
"971","B17CD","4",4.1,"4","german","1",0,"timeline","3","deictic","1","nextweek",14,-5.5,NA,3,NA,3,1,NA,0,NA,NA,3,1,0,0,0,0,1,0,0,NA,NA
"972","B17CD","4",4.1,"4","german","1",0,"timeline","3","deictic","2","nextyear",14,-0.4,NA,4,NA,4,2,NA,0,NA,NA,4,1,0,0,0,0,1,0,0,NA,NA
"973","B17CD","4",4.1,"4","german","1",0,"timeline","3","deictic","3","yesterday",14,-6,NA,2,NA,2,4,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"974","B17CD","4",4.1,"4","german","1",0,"timeline","3","deictic","4","lastyear",14,-6.4,NA,1,NA,1,3,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"975","B17CD","4",4.1,"4","german","1",0,"timeline","4","deictic","1","yesterday",14,-5.9,NA,1,NA,1,3,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"976","B17CD","4",4.1,"4","german","1",0,"timeline","4","deictic","2","tomorrow",14,-5.5,NA,2,NA,2,2,NA,0,NA,NA,3,0,1,1,0,0,1,0,0,NA,NA
"977","B17CD","4",4.1,"4","german","1",0,"timeline","4","deictic","3","aftertomorrow",14,-5.1,NA,3,NA,3,1,NA,0,NA,NA,4,0,1,1,0,0,1,0,0,NA,NA
"978","B17CD","4",4.1,"4","german","1",0,"timeline","4","deictic","4","beforeyesterday",14,-4.9,NA,4,NA,4,4,NA,0,NA,NA,1,0,-3,3,0,0,0,1,1,NA,NA
"979","B17CD","4",4.1,"4","german","3",0,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,6,NA,6,7,NA,0,NA,NA,7,0,1,1,1,1,0,0,0,NA,NA
"980","B17CD","4",4.1,"4","german","3",0,"calendar","1","deictic","1","tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,"1"
"981","B17CD","4",4.1,"4","german","3",0,"calendar","2","deictic","2","beforeyesterday",NA,NA,NA,3,NA,3,2,NA,0,NA,NA,2,0,-1,1,0,0,0,1,1,1,"0"
"982","B17CD","4",4.1,"4","german","3",0,"calendar","3","deictic","3","aftertomorrow",NA,NA,NA,6,NA,6,6,0,0,NA,NA,6,1,0,0,1,1,1,1,1,2,"1"
"983","B17CD","4",4.1,"4","german","3",0,"calendar","4","deictic","4","yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,"1"
"984","B17CD","4",4.1,"4","german","3",0,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,NA,NA
"985","B17CD","4",4.1,"4","german","3",0,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
