"","X","subjid","weekday","ageyears","agegroup","language","order","timelinefirst","task","linenum","itemtype","itemnum","item","linelength","distfrommid","distfrommid_2","response1","response2","response","correctr","prompts","exclude","DaysOfWeek_Correct","Num_Prompts","correctR","correct","dist.error","dist.error.a","resp.stat","resp.stat.1","item.stat","stat.correct","stat.correct.1","resp.remoteness","cor.remote"
"2051",2051,"A29EG",6,7.1,"7","german",1,1,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2052",2052,"A29EG",6,7.1,"7","german",1,1,"calendar",NA,"verbal",4,"today",NA,NA,NA,NA,NA,NA,6,NA,0,NA,NA,6,NA,NA,NA,0,0,0,1,1,NA,NA
"2053",2053,"A29EG",6,7.1,"7","german",1,1,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,5,NA,5,5,NA,0,NA,NA,5,1,0,0,1,1,0,0,0,NA,NA
"2054",2054,"A29EG",6,7.1,"7","german",1,1,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,7,NA,7,7,NA,0,NA,NA,7,1,0,0,1,1,1,1,1,NA,NA
"2055",2055,"A28EG",6,5.3,"5","german",2,1,"timeline",1,"event",1,"lastbday",14,0.1,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,1,1,0,0,0,NA,NA
"2056",2056,"A28EG",6,5.3,"5","german",2,1,"timeline",1,"event",2,"dinner",14,4.3,NA,4,NA,4,3,NA,0,NA,NA,3,0,-1,1,1,1,1,1,1,NA,NA
"2057",2057,"A28EG",6,5.3,"5","german",2,1,"timeline",1,"event",3,"nextbday",14,1.6,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"2058",2058,"A28EG",6,5.3,"5","german",2,1,"timeline",1,"event",4,"breakfast",14,-2.2,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"2059",2059,"A28EG",6,5.3,"5","german",2,1,"timeline",2,"deictic",1,"thismorning",14,-6.3,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2060",2060,"A28EG",6,5.3,"5","german",2,1,"timeline",2,"deictic",2,"tonight",14,5.1,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2061",2061,"A28EG",6,5.3,"5","german",2,1,"timeline",2,"deictic",3,"tomorrow",14,6.6,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2062",2062,"A28EG",6,5.3,"5","german",2,1,"timeline",2,"deictic",4,"lastweek",14,-6.6,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2063",2063,"A28EG",6,5.3,"5","german",2,1,"timeline",3,"deictic",1,"lastyear",14,-6.4,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2064",2064,"A28EG",6,5.3,"5","german",2,1,"timeline",3,"deictic",2,"yesterday",14,-2.8,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2065",2065,"A28EG",6,5.3,"5","german",2,1,"timeline",3,"deictic",3,"nextyear",14,4.8,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2066",2066,"A28EG",6,5.3,"5","german",2,1,"timeline",3,"deictic",4,"nextweek",14,1.3,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2067",2067,"A28EG",6,5.3,"5","german",2,1,"timeline",4,"deictic",1,"tomorrow",14,3.5,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2068",2068,"A28EG",6,5.3,"5","german",2,1,"timeline",4,"deictic",2,"yesterday",14,-4.3,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2069",2069,"A28EG",6,5.3,"5","german",2,1,"timeline",4,"deictic",3,"beforeyesterday",14,-5.9,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2070",2070,"A28EG",6,5.3,"5","german",2,1,"timeline",4,"deictic",4,"aftertomorrow",14,5.5,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2071",2071,"A28EG",6,5.3,"5","german",4,1,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,7,NA,7,7,NA,0,NA,NA,7,1,0,0,1,1,0,0,0,NA,NA
"2072",2072,"A28EG",6,5.3,"5","german",4,1,"calendar",1,"deictic",1,"beforeyesterday",NA,NA,NA,2,NA,2,2,0,0,NA,NA,2,1,0,0,0,0,0,1,1,2,1
"2073",2073,"A28EG",6,5.3,"5","german",4,1,"calendar",2,"deictic",2,"aftertomorrow",NA,NA,NA,6,NA,6,6,0,0,NA,NA,6,1,0,0,1,1,1,1,1,2,1
"2074",2074,"A28EG",6,5.3,"5","german",4,1,"calendar",3,"deictic",3,"yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,1
"2075",2075,"A28EG",6,5.3,"5","german",4,1,"calendar",4,"deictic",4,"tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,1
"2076",2076,"A28EG",6,5.3,"5","german",4,1,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,NA,NA
"2077",2077,"A28EG",6,5.3,"5","german",4,1,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2078",2078,"A28EG",6,5.3,"5","german",4,1,"calendar",NA,"verbal",4,"today",NA,NA,NA,6,NA,6,6,NA,0,NA,NA,6,1,0,0,1,1,0,0,0,NA,NA
"2079",2079,"A28EG",6,5.3,"5","german",4,1,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,5,NA,5,5,NA,0,NA,NA,5,1,0,0,1,1,0,0,0,NA,NA
"2080",2080,"A28EG",6,5.3,"5","german",4,1,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,7,NA,7,7,NA,0,NA,NA,7,1,0,0,1,1,1,1,1,NA,NA
"2081",2081,"A27EG",6,5.5,"5","german",2,0,"timeline",1,"event",1,"lastbday",14,-3.3,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2082",2082,"A27EG",6,5.5,"5","german",2,0,"timeline",1,"event",2,"dinner",14,-0.4,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,0,0,1,0,0,NA,NA
"2083",2083,"A27EG",6,5.5,"5","german",2,0,"timeline",1,"event",3,"nextbday",14,1.7,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2084",2084,"A27EG",6,5.5,"5","german",2,0,"timeline",1,"event",4,"breakfast",14,-2.6,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2085",2085,"A27EG",6,5.5,"5","german",2,0,"timeline",2,"deictic",1,"thismorning",14,-4.5,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2086",2086,"A27EG",6,5.5,"5","german",2,0,"timeline",2,"deictic",2,"tonight",14,-0.5,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,0,0,1,0,0,NA,NA
"2087",2087,"A27EG",6,5.5,"5","german",2,0,"timeline",2,"deictic",3,"tomorrow",14,2.8,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2088",2088,"A27EG",6,5.5,"5","german",2,0,"timeline",2,"deictic",4,"lastweek",14,-5.3,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2089",2089,"A27EG",6,5.5,"5","german",2,0,"timeline",3,"deictic",1,"lastyear",14,-5.6,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,0,0,0,1,1,NA,NA
"2090",2090,"A27EG",6,5.5,"5","german",2,0,"timeline",3,"deictic",2,"yesterday",14,-4.2,NA,4,NA,4,2,NA,0,NA,NA,2,0,-2,2,0,0,0,1,1,NA,NA
"2091",2091,"A27EG",6,5.5,"5","german",2,0,"timeline",3,"deictic",3,"nextyear",14,-6.3,NA,1,NA,1,4,NA,0,NA,NA,4,0,3,3,0,0,1,0,0,NA,NA
"2092",2092,"A27EG",6,5.5,"5","german",2,0,"timeline",3,"deictic",4,"nextweek",14,-5.5,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,0,0,1,0,0,NA,NA
"2093",2093,"A27EG",6,5.5,"5","german",2,0,"timeline",4,"deictic",1,"tomorrow",14,-3.3,NA,1,NA,1,3,NA,0,NA,NA,3,0,2,2,0,0,1,0,0,NA,NA
"2094",2094,"A27EG",6,5.5,"5","german",2,0,"timeline",4,"deictic",2,"yesterday",14,-2.4,NA,3,NA,3,2,NA,0,NA,NA,2,0,-1,1,0,0,0,1,1,NA,NA
"2095",2095,"A27EG",6,5.5,"5","german",2,0,"timeline",4,"deictic",3,"beforeyesterday",14,-2,NA,4,NA,4,1,NA,0,NA,NA,1,0,-3,3,0,0,0,1,1,NA,NA
"2096",2096,"A27EG",6,5.5,"5","german",2,0,"timeline",4,"deictic",4,"aftertomorrow",14,-2.9,NA,2,NA,2,4,NA,0,NA,NA,4,0,2,2,0,0,1,0,0,NA,NA
"2097",2097,"A27EG",6,5.5,"5","german",3,0,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,0,NA,0,7,NA,0,NA,NA,7,0,7,7,0,0,0,1,1,NA,NA
"2098",2098,"A27EG",6,5.5,"5","german",3,0,"calendar",1,"deictic",1,"tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,1
"2099",2099,"A27EG",6,5.5,"5","german",3,0,"calendar",2,"deictic",2,"beforeyesterday",NA,NA,NA,3,3,3,2,1,0,NA,NA,2,0,-1,1,0,0,0,1,1,1,0
"2100",2100,"A27EG",6,5.5,"5","german",3,0,"calendar",3,"deictic",3,"aftertomorrow",NA,NA,NA,6,NA,6,6,0,0,NA,NA,6,1,0,0,1,1,1,1,1,2,1
"2101",2101,"A27EG",6,5.5,"5","german",3,0,"calendar",4,"deictic",4,"yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,1
"2102",2102,"A27EG",6,5.5,"5","german",3,0,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,0,0,1,0,0,NA,NA
"2103",2103,"A27EG",6,5.5,"5","german",3,0,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"2104",2104,"A27EG",6,5.5,"5","german",3,0,"calendar",NA,"verbal",4,"today",NA,NA,NA,NA,NA,NA,6,NA,0,NA,NA,6,NA,NA,NA,0,0,0,1,1,NA,NA
"2105",2105,"A27EG",6,5.5,"5","german",3,0,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,5,NA,NA,NA,0,0,0,1,1,NA,NA
"2106",2106,"A27EG",6,5.5,"5","german",3,0,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,7,NA,NA,NA,0,0,1,0,0,NA,NA
"2107",2107,"A26EG",2,7.11,"7","german",2,1,"timeline",1,"event",1,"lastbday",14,-1.5,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2108",2108,"A26EG",2,7.11,"7","german",2,1,"timeline",1,"event",2,"dinner",14,0.3,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2109",2109,"A26EG",2,7.11,"7","german",2,1,"timeline",1,"event",3,"nextbday",14,1.2,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2110",2110,"A26EG",2,7.11,"7","german",2,1,"timeline",1,"event",4,"breakfast",14,-0.7,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2111",2111,"A26EG",2,7.11,"7","german",2,1,"timeline",2,"deictic",1,"thismorning",14,-2.4,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2112",2112,"A26EG",2,7.11,"7","german",2,1,"timeline",2,"deictic",2,"tonight",14,0.9,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2113",2113,"A26EG",2,7.11,"7","german",2,1,"timeline",2,"deictic",3,"tomorrow",14,2.4,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2114",2114,"A26EG",2,7.11,"7","german",2,1,"timeline",2,"deictic",4,"lastweek",14,-3.9,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2115",2115,"A26EG",2,7.11,"7","german",2,1,"timeline",3,"deictic",1,"lastyear",14,-2.9,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2116",2116,"A26EG",2,7.11,"7","german",2,1,"timeline",3,"deictic",2,"yesterday",14,-1.3,NA,3,NA,3,2,NA,0,NA,NA,2,0,-1,1,0,0,0,1,1,NA,NA
"2117",2117,"A26EG",2,7.11,"7","german",2,1,"timeline",3,"deictic",3,"nextyear",14,2,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2118",2118,"A26EG",2,7.11,"7","german",2,1,"timeline",3,"deictic",4,"nextweek",14,-2.4,NA,2,NA,2,3,NA,0,NA,NA,3,0,1,1,0,0,1,0,0,NA,NA
"2119",2119,"A26EG",2,7.11,"7","german",2,1,"timeline",4,"deictic",1,"tomorrow",14,1.3,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2120",2120,"A26EG",2,7.11,"7","german",2,1,"timeline",4,"deictic",2,"yesterday",14,-1.4,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2121",2121,"A26EG",2,7.11,"7","german",2,1,"timeline",4,"deictic",3,"beforeyesterday",14,-2.8,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2122",2122,"A26EG",2,7.11,"7","german",2,1,"timeline",4,"deictic",4,"aftertomorrow",14,2.3,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2123",2123,"A26EG",2,7.11,"7","german",2,1,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,7,NA,7,7,NA,0,NA,NA,7,1,0,0,1,1,0,0,0,NA,NA
"2124",2124,"A26EG",2,7.11,"7","german",2,1,"calendar",1,"deictic",1,"yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,1
"2125",2125,"A26EG",2,7.11,"7","german",2,1,"calendar",2,"deictic",2,"tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,1
"2126",2126,"A26EG",2,7.11,"7","german",2,1,"calendar",3,"deictic",3,"beforeyesterday",NA,NA,NA,2,NA,2,2,0,0,NA,NA,2,1,0,0,0,0,0,1,1,2,1
"2127",2127,"A26EG",2,7.11,"7","german",2,1,"calendar",4,"deictic",4,"aftertomorrow",NA,NA,NA,6,NA,6,6,0,0,NA,NA,6,1,0,0,1,1,1,1,1,2,1
"2128",2128,"A26EG",2,7.11,"7","german",2,1,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,NA,NA
"2129",2129,"A26EG",2,7.11,"7","german",2,1,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2130",2130,"A26EG",2,7.11,"7","german",2,1,"calendar",NA,"verbal",4,"today",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2131",2131,"A26EG",2,7.11,"7","german",2,1,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2132",2132,"A26EG",2,7.11,"7","german",2,1,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"2133",2133,"A25EG",7,5.9,"5","german",1,1,"timeline",1,"event",1,"breakfast",14,-2,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2134",2134,"A25EG",7,5.9,"5","german",1,1,"timeline",1,"event",2,"nextbday",14,1,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"2135",2135,"A25EG",7,5.9,"5","german",1,1,"timeline",1,"event",3,"dinner",14,5,NA,4,NA,4,3,NA,0,NA,NA,3,0,-1,1,1,1,1,1,1,NA,NA
"2136",2136,"A25EG",7,5.9,"5","german",1,1,"timeline",1,"event",4,"lastbday",14,-4.2,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2137",2137,"A25EG",7,5.9,"5","german",1,1,"timeline",2,"deictic",1,"lastweek",14,-4.3,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,0,0,0,1,1,NA,NA
"2138",2138,"A25EG",7,5.9,"5","german",1,1,"timeline",2,"deictic",2,"tomorrow",14,0.8,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"2139",2139,"A25EG",7,5.9,"5","german",1,1,"timeline",2,"deictic",3,"tonight",14,5.7,NA,4,NA,4,3,NA,0,NA,NA,3,0,-1,1,1,1,1,1,1,NA,NA
"2140",2140,"A25EG",7,5.9,"5","german",1,1,"timeline",2,"deictic",4,"thismorning",14,-5.8,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"2141",2141,"A25EG",7,5.9,"5","german",1,1,"timeline",3,"deictic",1,"nextweek",14,4.7,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2142",2142,"A25EG",7,5.9,"5","german",1,1,"timeline",3,"deictic",2,"nextyear",14,6,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2143",2143,"A25EG",7,5.9,"5","german",1,1,"timeline",3,"deictic",3,"yesterday",14,1.5,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,1,1,0,0,0,NA,NA
"2144",2144,"A25EG",7,5.9,"5","german",1,1,"timeline",3,"deictic",4,"lastyear",14,-5.9,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2145",2145,"A25EG",7,5.9,"5","german",1,1,"timeline",4,"deictic",1,"yesterday",14,-1.1,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2146",2146,"A25EG",7,5.9,"5","german",1,1,"timeline",4,"deictic",2,"tomorrow",14,1.1,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2147",2147,"A25EG",7,5.9,"5","german",1,1,"timeline",4,"deictic",3,"aftertomorrow",14,4.5,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2148",2148,"A25EG",7,5.9,"5","german",1,1,"timeline",4,"deictic",4,"beforeyesterday",14,-3.1,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2149",2149,"A25EG",7,5.9,"5","german",3,1,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,0,NA,0,7,NA,0,NA,NA,7,0,7,7,0,0,0,1,1,NA,NA
"2150",2150,"A25EG",7,5.9,"5","german",3,1,"calendar",1,"deictic",1,"tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,1
"2151",2151,"A25EG",7,5.9,"5","german",3,1,"calendar",2,"deictic",2,"beforeyesterday",NA,NA,NA,3,2,2,2,1,0,NA,NA,2,1,0,0,0,0,0,1,1,2,1
"2152",2152,"A25EG",7,5.9,"5","german",3,1,"calendar",3,"deictic",3,"aftertomorrow",NA,NA,NA,2,5,5,6,1,0,NA,NA,6,0,1,1,1,0,1,1,0,1,0
"2153",2153,"A25EG",7,5.9,"5","german",3,1,"calendar",4,"deictic",4,"yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,1
"2154",2154,"A25EG",7,5.9,"5","german",3,1,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,NA,NA
"2155",2155,"A25EG",7,5.9,"5","german",3,1,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2156",2156,"A25EG",7,5.9,"5","german",3,1,"calendar",NA,"verbal",4,"today",NA,NA,NA,6,NA,6,7,NA,0,NA,NA,7,0,1,1,1,1,0,0,0,NA,NA
"2157",2157,"A25EG",7,5.9,"5","german",3,1,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,3,NA,3,6,NA,0,NA,NA,6,0,3,3,0,0,0,1,1,NA,NA
"2158",2158,"A25EG",7,5.9,"5","german",3,1,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"2159",2159,"A22EG",6,4.3,"4","german",2,0,"timeline",1,"event",1,"lastbday",14,-3,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2160",2160,"A22EG",6,4.3,"4","german",2,0,"timeline",1,"event",2,"dinner",14,3.2,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2161",2161,"A22EG",6,4.3,"4","german",2,0,"timeline",1,"event",3,"nextbday",14,-0.9,NA,2,NA,2,4,NA,0,NA,NA,4,0,2,2,0,0,1,0,0,NA,NA
"2162",2162,"A22EG",6,4.3,"4","german",2,0,"timeline",1,"event",4,"breakfast",14,5.1,NA,4,NA,4,2,NA,0,NA,NA,2,0,-2,2,1,1,0,0,0,NA,NA
"2163",2163,"A22EG",6,4.3,"4","german",2,0,"timeline",2,"deictic",1,"thismorning",14,-6,NA,1,NA,1,2,NA,0,NA,NA,2,0,1,1,0,0,0,1,1,NA,NA
"2164",2164,"A22EG",6,4.3,"4","german",2,0,"timeline",2,"deictic",2,"tonight",14,3.3,NA,3,NA,3,3,NA,0,NA,NA,3,1,0,0,1,1,1,1,1,NA,NA
"2165",2165,"A22EG",6,4.3,"4","german",2,0,"timeline",2,"deictic",3,"tomorrow",14,5.6,NA,4,NA,4,4,NA,0,NA,NA,4,1,0,0,1,1,1,1,1,NA,NA
"2166",2166,"A22EG",6,4.3,"4","german",2,0,"timeline",2,"deictic",4,"lastweek",14,-2.3,NA,2,NA,2,1,NA,0,NA,NA,1,0,-1,1,0,0,0,1,1,NA,NA
"2167",2167,"A22EG",6,4.3,"4","german",2,0,"timeline",3,"deictic",1,"lastyear",14,-4.8,NA,1,NA,1,1,NA,0,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA
"2168",2168,"A22EG",6,4.3,"4","german",2,0,"timeline",3,"deictic",2,"yesterday",14,-1.7,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,0,0,0,1,1,NA,NA
"2169",2169,"A22EG",6,4.3,"4","german",2,0,"timeline",3,"deictic",3,"nextyear",14,3,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"2170",2170,"A22EG",6,4.3,"4","german",2,0,"timeline",3,"deictic",4,"nextweek",14,5.1,NA,4,NA,4,3,NA,0,NA,NA,3,0,-1,1,1,1,1,1,1,NA,NA
"2171",2171,"A22EG",6,4.3,"4","german",2,0,"timeline",4,"deictic",1,"tomorrow",14,3.6,NA,1,NA,1,3,NA,0,NA,NA,3,0,2,2,1,1,1,1,1,NA,NA
"2172",2172,"A22EG",6,4.3,"4","german",2,0,"timeline",4,"deictic",2,"yesterday",14,4.6,NA,2,NA,2,2,NA,0,NA,NA,2,1,0,0,1,1,0,0,0,NA,NA
"2173",2173,"A22EG",6,4.3,"4","german",2,0,"timeline",4,"deictic",3,"beforeyesterday",14,6.2,NA,4,NA,4,1,NA,0,NA,NA,1,0,-3,3,1,1,0,0,0,NA,NA
"2174",2174,"A22EG",6,4.3,"4","german",2,0,"timeline",4,"deictic",4,"aftertomorrow",14,5.4,NA,3,NA,3,4,NA,0,NA,NA,4,0,1,1,1,1,1,1,1,NA,NA
"2175",2175,"A22EG",6,4.3,"4","german",1,0,"calendar",NA,"verbal",1,"daysofweek",NA,NA,NA,0,NA,0,7,NA,0,NA,NA,7,0,7,7,0,0,0,1,1,NA,NA
"2176",2176,"A22EG",6,4.3,"4","german",1,0,"calendar",1,"deictic",1,"yesterday",NA,NA,NA,3,NA,3,3,0,0,NA,NA,3,1,0,0,0,0,0,1,1,1,1
"2177",2177,"A22EG",6,4.3,"4","german",1,0,"calendar",2,"deictic",2,"beforeyesterday",NA,NA,NA,3,2,2,2,1,0,NA,NA,2,1,0,0,0,0,0,1,1,2,1
"2178",2178,"A22EG",6,4.3,"4","german",1,0,"calendar",3,"deictic",3,"tomorrow",NA,NA,NA,5,NA,5,5,0,0,NA,NA,5,1,0,0,1,1,1,1,1,1,1
"2179",2179,"A22EG",6,4.3,"4","german",1,0,"calendar",4,"deictic",4,"aftertomorrow",NA,NA,NA,5,5,5,6,1,0,NA,NA,6,0,1,1,1,1,1,1,1,1,0
"2180",2180,"A22EG",6,4.3,"4","german",1,0,"calendar",NA,"verbal",2,"aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"2181",2181,"A22EG",6,4.3,"4","german",1,0,"calendar",NA,"verbal",3,"beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"2182",2182,"A22EG",6,4.3,"4","german",1,0,"calendar",NA,"verbal",4,"today",NA,NA,NA,NA,NA,NA,6,NA,0,NA,NA,6,NA,NA,NA,0,0,0,1,1,NA,NA
"2183",2183,"A22EG",6,4.3,"4","german",1,0,"calendar",NA,"verbal",5,"yesterday",NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,5,NA,NA,NA,0,0,0,1,1,NA,NA
"2184",2184,"A22EG",6,4.3,"4","german",1,0,"calendar",NA,"verbal",6,"tomorrow",NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,7,NA,NA,NA,0,0,1,0,0,NA,NA
"2185",2185,"A23EG",3,5.3,"5","german",2,0,"timeline",1,"event",1,"lastbday",14,4.9,NA,4,NA,4,1,NA,0,NA,NA,1,0,-3,3,1,1,0,0,0,NA,NA
